periodo_fecha,temp_media,temp_max_media,temp_min_media,IPC,promedio_mens_dolar_venta,catastrofe
2017-01-01,25.65,30.4,20.9,1.6,15.91,False
2017-02-01,25.35,30.1,20.6,2.1,15.59,False
2017-03-01,22.45,26.9,18.0,2.4,15.52,False
2017-04-01,18.9,23.5,14.3,2.7,15.36,False
2017-05-01,15.9,19.5,12.3,1.4,15.72,False
2017-06-01,13.7,17.9,9.5,1.2,16.12,False
2017-07-01,13.35,17.0,9.7,1.7,17.19,False
2017-08-01,15.149999999999999,19.2,11.1,1.4,17.42,False
2017-09-01,15.95,20.3,11.6,1.9,18.15,False
2017-10-01,17.15,23.0,11.3,1.5,17.46,False
2017-11-01,20.7,26.2,15.2,1.4,17.48,False
2017-12-01,24.700000000000003,30.3,19.1,3.1,17.73,False
2018-01-01,25.6,31.4,20.8,1.8,19.04,False
2018-02-01,24.9,30.4,20.3,2.4,19.83,False
2018-03-01,22.0,27.9,17.1,2.3,20.24,False
2018-04-01,21.4,25.7,18.6,2.7,20.23,False
2018-05-01,16.1,20.3,13.2,2.1,23.73,False
2018-06-01,10.6,15.7,6.9,3.7,26.62,False
2018-07-01,10.5,13.5,8.0,3.1,27.57,False
2018-08-01,12.3,17.0,8.0,3.9,30.17,False
2018-09-01,17.4,21.5,13.8,6.5,38.53,False
2018-10-01,18.0,22.4,13.2,5.4,37.06,False
2018-11-01,21.6,26.3,16.7,3.2,36.48,False
2018-12-01,22.6,27.4,17.6,2.6,37.83,False
2019-01-01,24.9,29.3,20.7,2.9,37.39,False
2019-02-01,24.2,29.1,19.2,3.8,38.4,False
2019-03-01,21.0,25.6,16.8,4.7,41.52,False
2019-04-01,19.3,24.3,15.0,3.4,43.26,False
2019-05-01,15.8,20.1,12.0,3.1,44.88,False
2019-06-01,14.5,17.8,11.3,2.7,43.73,False
2019-07-01,11.7,15.9,11.7,2.2,42.58,False
2019-08-01,12.6,17.1,8.6,4.0,52.59,True
2019-09-01,15.3,20.4,10.4,5.9,56.46,False
2019-10-01,17.8,22.0,13.0,3.3,58.54,False
2019-11-01,22.9,27.8,17.6,4.3,59.75,False
2019-12-01,24.0,29.5,18.0,3.7,59.88,False
2020-01-01,25.1,30.0,20.2,2.3,60.01,False
2020-02-01,24.4,29.6,19.3,2.0,61.36,False
2020-03-01,24.0,28.6,20.1,3.3,63.12,False
2020-04-01,18.0,22.8,13.6,1.5,65.76,False
2020-05-01,15.3,20.4,11.0,1.5,67.73,False
2020-06-01,12.7,16.9,9.1,2.2,69.54,False
2020-07-01,10.5,15.1,6.7,1.9,71.48,False
2020-08-01,13.9,19.0,9.2,2.7,73.3,False
2020-09-01,14.8,19.3,9.8,2.8,75.2,False
2020-10-01,17.3,22.1,12.4,3.8,77.58,False
2020-11-01,21.8,26.5,17.3,3.2,79.94,False
2020-12-01,23.5,29.0,18.0,4.0,82.72,False
